2024-07-31 15:35:08.461 [http-nio-8080-exec-3] INFO  com.sansi.controller.UserManager - cookies验证通过
2024-07-31 15:35:08.474 [http-nio-8080-exec-3] INFO  com.sansi.controller.UserManager - 添加用户成功：1
2024-07-31 15:35:11.542 [http-nio-8080-exec-4] INFO  com.sansi.controller.UserManager - cookies验证通过
2024-07-31 15:35:11.587 [http-nio-8080-exec-4] INFO  com.sansi.controller.UserManager - 获取到的用户数量是:1
2024-07-31 15:35:13.638 [http-nio-8080-exec-5] INFO  com.sansi.controller.UserManager - cookies验证通过
2024-07-31 15:35:13.644 [http-nio-8080-exec-5] INFO  com.sansi.controller.UserManager - 成功更新数据1条。
2024-07-31 15:35:15.679 [http-nio-8080-exec-6] INFO  com.sansi.controller.UserManager - cookies验证通过
2024-07-31 15:35:15.682 [http-nio-8080-exec-6] INFO  com.sansi.controller.UserManager - 成功更新数据1条。
2024-07-31 15:35:17.718 [http-nio-8080-exec-7] INFO  com.sansi.controller.UserManager - cookies验证通过
2024-07-31 15:35:17.725 [http-nio-8080-exec-7] INFO  com.sansi.controller.UserManager - 获取到的用户数量是:1
2024-07-31 15:51:18.538 [Thread-3] INFO  o.s.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6d9c638: startup date [Wed Jul 31 15:34:20 CST 2024]; root of context hierarchy
2024-07-31 15:51:18.546 [Thread-3] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2024-07-31 15:51:18.548 [Thread-3] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
